_id,comment,score.neg,score.neu,score.pos,score.compound,sentiment
67c3bfd6b702a263cd40cc08,"So hard, he&#39;s my favorite rapper Kendrick Lamar",0.158,0.561,0.281,0.3197,Positive
67c3bfd6b702a263cd40cc09,I might actually marry myself.,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc0a,Me,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc0b,Brabo 💪🔥🔥🔥🔥🔥,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc0c,I love you songs like this one,0,0.374,0.626,0.7717,Positive
67c3bfd6b702a263cd40cc0d,РОССИЯ ТУТ!!! ПРИВЕТ ИЗ РОДИНЫ ЛЕНИНА!,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc0e,😂🎉😮😮😮😊😊😊❤❤❤❤❤❤❤,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc0f,bro this is my new fav song 😂🔥,0,0.7,0.3,0.4588,Positive
67c3bfd6b702a263cd40cc10,Yall gaslighting like hell. Js I can’t stand his voice enough to listen sound like he hasn’t hit man hood yet,0.173,0.639,0.188,-0.1531,Negative
67c3bfd6b702a263cd40cc11,FUEGO!!!,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc12,"<a href=""https://youtube.com/@panda-grandpa?si=JxgN4pU2ROymsCPE"">https://youtube.com/@panda-grandpa?si=JxgN4pU2ROymsCPE</a>",0,1,0,0,Neutral
67c3bfd6b702a263cd40cc13,Finally some 90&#39;s type music,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc14,This is my  10 time listing to this song,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc15,La casa,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc16,🎉🎉🎉good,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc17,wtf  this is  so  good,0.36,0.285,0.355,-0.0152,Neutral
67c3bfd6b702a263cd40cc18,Bem Loko,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc19,Perfect soundtrack for a mystery comedy opening.,0,0.392,0.608,0.7351,Positive
67c3bfd6b702a263cd40cc1a,This song is my favorite song by kendrick! It goes so hard at parties!!,0.095,0.558,0.347,0.7161,Positive
67c3bfd6b702a263cd40cc1b,❤❤❤,0,1,0,0,Neutral
