ID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
1,female,unknown,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,71,71,74
2,female,group c,some college,standard,unknown,married,sometimes,yes,0.0,unknown,5 - 10,69,90,88
3,female,group b,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5,87,93,91
4,male,group a,associate's degree,free/reduced,none,married,never,no,1.0,unknown,5 - 10,45,56,42
5,male,group c,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,76,78,75
6,female,group b,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,73,84,79
7,female,group b,some college,standard,completed,widowed,never,no,1.0,private,5 - 10,85,93,89
8,male,group b,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10,41,43,39
9,male,group d,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10,65,64,68
10,female,group b,high school,free/reduced,none,married,regularly,yes,0.0,private,< 5,37,59,50
11,male,group c,associate's degree,standard,none,unknown,sometimes,yes,1.0,private,5 - 10,58,54,52
12,male,group d,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52,43
13,female,group b,high school,standard,none,married,regularly,no,1.0,private,5 - 10,66,82,74
14,male,group a,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,73,71
15,female,group a,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,48,53,58
16,female,group c,some high school,standard,none,married,sometimes,yes,0.0,private,unknown,69,75,78
17,male,group c,high school,standard,unknown,married,sometimes,yes,0.0,school_bus,5 - 10,88,89,86
18,female,group b,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,18,32,28
19,male,group c,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42,47
20,female,group c,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5,50,56,58
21,male,group d,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,66,69,63
22,female,group b,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,65,75,70
23,male,group d,unknown,standard,none,married,never,yes,5.0,unknown,5 - 10,42,53,51
24,female,group c,some high school,standard,none,divorced,never,no,3.0,unknown,5 - 10,66,71,71
25,male,group d,unknown,free/reduced,completed,married,sometimes,yes,2.0,school_bus,5 - 10,74,71,80
26,male,group a,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,75,76,76
27,male,group b,some college,standard,none,married,sometimes,yes,5.0,school_bus,< 5,66,53,53
28,female,group c,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10,69,70,76
29,male,group c,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,70,70,65
30,female,group d,some college,standard,none,single,sometimes,yes,0.0,private,< 5,66,72,72
31,female,group b,some college,standard,none,single,sometimes,yes,5.0,unknown,5 - 10,63,65,61
32,female,group e,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,56,73,66
33,male,unknown,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,40,42,38
34,male,group e,some college,standard,none,divorced,sometimes,yes,0.0,school_bus,unknown,97,87,82
35,male,group e,associate's degree,standard,completed,single,sometimes,no,0.0,school_bus,5 - 10,81,81,79
36,female,group d,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10,76,82,85
37,female,group d,some high school,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,51,64,60
38,female,group d,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,77,91,90
